Disease1	Disease2	weight	comorbid	colors	pathway
C15	C18	0.630361359458352	no	#4A74A9	Cell Cycle
C15	C22	0.52007163307527	no	#4A74A9	Cell Cycle
C15	C25	0.335715101484576	no	#4A74A9	Cell Cycle
C15	C34	0.998118939293612	no	#4A74A9	Cell Cycle
C15	C38	0.524225290023049	no	#4A74A9	Cell Cycle
C15	C49	0.545885289245527	no	#4A74A9	Cell Cycle
C15	C64	0.347231411158118	no	#4A74A9	Cell Cycle
C15	C67	0.498633326506556	no	#4A74A9	Cell Cycle
C15	C71	0.352023817750077	no	#4A74A9	Cell Cycle
C15	C73	0.757466521794958	no	#4A74A9	Cell Cycle
C15	C74	0.515005662768357	no	#4A74A9	Cell Cycle
C15	C84	0.179761929541609	no	#4A74A9	Cell Cycle
C15	J32	0.353691809720733	no	#4A74A9	Cell Cycle
C15	J45	0.230485607757988	no	#4A74A9	Cell Cycle
C15	K12	0.207528295318359	no	#4A74A9	Cell Cycle
C15	K13	0.408184944521998	no	#4A74A9	Cell Cycle
C15	K50	0.211092931664629	no	#4A74A9	Cell Cycle
C15	K58	0.297627161045974	no	#4A74A9	Cell Cycle
C15	K70	0.373836282534054	no	#4A74A9	Cell Cycle
C15	L40	0.699001437252872	no	#4A74A9	Cell Cycle
C15	L70	0.602054480674826	no	#4A74A9	Cell Cycle
C15	L71	0.474171990556505	no	#4A74A9	Cell Cycle
C15	Q98	0.414505947159488	no	#4A74A9	Cell Cycle
C16	C18	0.756018327512726	no	#4A74A9	Cell Cycle
C16	C22	0.616340717019959	no	#4A74A9	Cell Cycle
C16	C25	0.636170196729225	no	#4A74A9	Cell Cycle
C16	C34	0.429728633480873	no	#4A74A9	Cell Cycle
C16	C38	0.38850292282999	no	#4A74A9	Cell Cycle
C16	C49	0.264003804481632	yes	#4A74A9	Cell Cycle
C16	C64	0.562297516408906	no	#4A74A9	Cell Cycle
C16	C67	0.415004878970194	no	#4A74A9	Cell Cycle
C16	C71	0.429735144345464	no	#4A74A9	Cell Cycle
C16	C73	0.384318548466985	no	#4A74A9	Cell Cycle
C16	C74	0.365591468031136	no	#4A74A9	Cell Cycle
C16	C84	0.190033958656706	no	#4A74A9	Cell Cycle
C16	C93	0.177919376892952	no	#4A74A9	Cell Cycle
C16	J32	0.155247444332987	no	#4A74A9	Cell Cycle
C16	J45	0.202515108338743	no	#4A74A9	Cell Cycle
C16	K13	0.262457241870358	no	#4A74A9	Cell Cycle
C16	K58	0.223373998578703	no	#4A74A9	Cell Cycle
C16	K70	0.352525423482789	no	#4A74A9	Cell Cycle
C16	L40	0.316867809265917	no	#4A74A9	Cell Cycle
C16	L70	0.421719282195262	no	#4A74A9	Cell Cycle
C16	L71	0.270635091575267	no	#4A74A9	Cell Cycle
C16	M33	0.209118057710174	no	#4A74A9	Cell Cycle
C16	N02	0.190976541003545	no	#4A74A9	Cell Cycle
C16	Q98	0.343616749033601	no	#4A74A9	Cell Cycle
C18	C22	0.699455983531234	no	#4A74A9	Cell Cycle
C18	C25	0.420787775038549	no	#4A74A9	Cell Cycle
C18	C34	0.854393608835801	no	#4A74A9	Cell Cycle
C18	C38	0.531297363414903	no	#4A74A9	Cell Cycle
C18	C49	0.350226552627491	no	#4A74A9	Cell Cycle
C18	C64	0.534530316224966	no	#4A74A9	Cell Cycle
C18	C67	0.464591271886408	no	#4A74A9	Cell Cycle
C18	C71	0.49816616845318	no	#4A74A9	Cell Cycle
C18	C73	0.396144193976345	no	#4A74A9	Cell Cycle
C18	C74	0.50496547327834	no	#4A74A9	Cell Cycle
C18	C84	0.238451983702921	no	#4A74A9	Cell Cycle
C18	C93	0.326464475061798	no	#4A74A9	Cell Cycle
C18	D82	-0.191308257593467	no	#B64539	Cell Cycle
C18	D86	-0.155334264781293	no	#B64539	Cell Cycle
C18	J45	0.341593040557833	no	#4A74A9	Cell Cycle
C18	K13	0.273027664818167	no	#4A74A9	Cell Cycle
C18	K51	0.190200541806808	no	#4A74A9	Cell Cycle
C18	K58	0.244534792853336	no	#4A74A9	Cell Cycle
C18	K70	0.350282874212131	no	#4A74A9	Cell Cycle
C18	L40	0.367267035081991	no	#4A74A9	Cell Cycle
C18	L70	0.29449734811294	no	#4A74A9	Cell Cycle
C18	L71	0.313635282314781	no	#4A74A9	Cell Cycle
C18	M47	-0.179756388142221	no	#B64539	Cell Cycle
C18	Q98	0.369249327932809	no	#4A74A9	Cell Cycle
C22	C25	0.393698522643333	no	#4A74A9	Cell Cycle
C22	C34	0.785446837986822	no	#4A74A9	Cell Cycle
C22	C38	0.553165823147184	no	#4A74A9	Cell Cycle
C22	C49	0.380854730525992	no	#4A74A9	Cell Cycle
C22	C64	0.451924841358463	no	#4A74A9	Cell Cycle
C22	C67	0.35435019593162	no	#4A74A9	Cell Cycle
C22	C71	0.404646373893973	no	#4A74A9	Cell Cycle
C22	C73	0.377260036147952	no	#4A74A9	Cell Cycle
C22	C74	0.602905554895306	no	#4A74A9	Cell Cycle
C22	C84	0.247630596567294	no	#4A74A9	Cell Cycle
C22	J45	0.257523932159373	no	#4A74A9	Cell Cycle
C22	K13	0.230759260562131	no	#4A74A9	Cell Cycle
C22	K70	0.592867914892645	yes	#4A74A9	Cell Cycle
C22	L40	0.340392708341246	no	#4A74A9	Cell Cycle
C22	L70	0.338057622940811	no	#4A74A9	Cell Cycle
C22	L71	0.193305165982254	no	#4A74A9	Cell Cycle
C22	Q98	0.331254337647377	no	#4A74A9	Cell Cycle
C25	C34	0.269080505239107	no	#4A74A9	Cell Cycle
C25	C38	0.378771446670255	no	#4A74A9	Cell Cycle
C25	C64	0.462499248880175	no	#4A74A9	Cell Cycle
C25	C67	0.382813549714181	no	#4A74A9	Cell Cycle
C25	C71	0.242579584116629	no	#4A74A9	Cell Cycle
C25	C73	0.370860440121049	no	#4A74A9	Cell Cycle
C25	C74	0.261467182362735	no	#4A74A9	Cell Cycle
C25	C84	0.264721820022136	no	#4A74A9	Cell Cycle
C25	G10	0.163496909759618	no	#4A74A9	Cell Cycle
C25	J45	0.208804487785454	no	#4A74A9	Cell Cycle
C25	K12	0.187416859632199	no	#4A74A9	Cell Cycle
C25	K13	0.248255836163836	no	#4A74A9	Cell Cycle
C25	K58	0.283240193164934	no	#4A74A9	Cell Cycle
C25	K70	0.360081373741754	no	#4A74A9	Cell Cycle
C25	L40	0.249529794373254	no	#4A74A9	Cell Cycle
C25	L70	0.250851708716003	no	#4A74A9	Cell Cycle
C25	L71	0.243346586858128	no	#4A74A9	Cell Cycle
C25	L82	0.187549371472347	no	#4A74A9	Cell Cycle
C25	M33	0.263725358683248	no	#4A74A9	Cell Cycle
C25	N02	0.220475615993251	no	#4A74A9	Cell Cycle
C25	Q98	0.215985880351667	no	#4A74A9	Cell Cycle
C34	C38	0.657750512135648	yes	#4A74A9	Cell Cycle
C34	C49	0.498242713014549	no	#4A74A9	Cell Cycle
C34	C64	0.374803433100252	no	#4A74A9	Cell Cycle
C34	C67	0.433800578215631	no	#4A74A9	Cell Cycle
C34	C71	0.359586757182354	yes	#4A74A9	Cell Cycle
C34	C73	0.551767884787011	no	#4A74A9	Cell Cycle
C34	C74	0.632687423669431	yes	#4A74A9	Cell Cycle
C34	C93	0.300294058565711	no	#4A74A9	Cell Cycle
C34	E10	-0.233142889131284	no	#B64539	Cell Cycle
C34	J32	0.288029905888199	no	#4A74A9	Cell Cycle
C34	J45	0.343562672633818	no	#4A74A9	Cell Cycle
C34	K13	0.275219331607537	no	#4A74A9	Cell Cycle
C34	K70	0.364049002207281	no	#4A74A9	Cell Cycle
C34	L40	0.590983046608434	no	#4A74A9	Cell Cycle
C34	L70	0.432819053650546	no	#4A74A9	Cell Cycle
C34	L71	0.357136667263016	no	#4A74A9	Cell Cycle
C34	Q87	-0.137723734529196	no	#B64539	Cell Cycle
C34	Q98	0.38415265517344	no	#4A74A9	Cell Cycle
C38	C49	0.421699995646973	yes	#4A74A9	Cell Cycle
C38	C64	0.493713020047612	no	#4A74A9	Cell Cycle
C38	C67	0.358844247718542	no	#4A74A9	Cell Cycle
C38	C71	0.408752309782889	no	#4A74A9	Cell Cycle
C38	C73	0.542236301576496	no	#4A74A9	Cell Cycle
C38	C74	0.532125600133337	no	#4A74A9	Cell Cycle
C38	C84	0.318471338357721	no	#4A74A9	Cell Cycle
C38	G20	0.21662008917466	no	#4A74A9	Cell Cycle
C38	J32	0.307683055934324	no	#4A74A9	Cell Cycle
C38	J45	0.234404624462293	no	#4A74A9	Cell Cycle
C38	K13	0.244383344216892	no	#4A74A9	Cell Cycle
C38	K58	0.217713217638683	no	#4A74A9	Cell Cycle
C38	K70	0.322406549069498	no	#4A74A9	Cell Cycle
C38	L40	0.346318347133148	no	#4A74A9	Cell Cycle
C38	L70	0.229588717419832	no	#4A74A9	Cell Cycle
C38	L71	0.295304264172607	no	#4A74A9	Cell Cycle
C38	L82	0.198381242105954	no	#4A74A9	Cell Cycle
C38	N02	0.189008877523604	no	#4A74A9	Cell Cycle
C38	Q98	0.302102209318077	no	#4A74A9	Cell Cycle
C49	C64	0.384089217196964	no	#4A74A9	Cell Cycle
C49	C67	0.2673329627143	no	#4A74A9	Cell Cycle
C49	C71	0.964750772625647	no	#4A74A9	Cell Cycle
C49	C73	0.496210157962085	no	#4A74A9	Cell Cycle
C49	C74	0.52255848674339	no	#4A74A9	Cell Cycle
C49	C84	0.315849756347902	no	#4A74A9	Cell Cycle
C49	G20	0.237785371678508	no	#4A74A9	Cell Cycle
C49	G30	0.20322571611466	no	#4A74A9	Cell Cycle
C49	K70	0.200670189271785	no	#4A74A9	Cell Cycle
C49	L40	0.272396060835284	no	#4A74A9	Cell Cycle
C49	L70	0.220237212877748	no	#4A74A9	Cell Cycle
C49	L71	0.240473493929513	no	#4A74A9	Cell Cycle
C49	Q98	0.245718492130575	no	#4A74A9	Cell Cycle
C61	C67	0.167223339216545	no	#4A74A9	Cell Cycle
C61	C82	-0.22372898576956	no	#B64539	Cell Cycle
C61	J32	0.224921692962817	no	#4A74A9	Cell Cycle
C61	J44	0.28350370876453	no	#4A74A9	Cell Cycle
C61	L70	0.180755746430796	no	#4A74A9	Cell Cycle
C61	M33	0.247320797113175	no	#4A74A9	Cell Cycle
C64	C67	0.483840330300587	yes	#4A74A9	Cell Cycle
C64	C71	0.600461425146828	yes	#4A74A9	Cell Cycle
C64	C73	0.507935794765479	no	#4A74A9	Cell Cycle
C64	C74	0.543611684837282	no	#4A74A9	Cell Cycle
C64	C84	0.230816755833157	no	#4A74A9	Cell Cycle
C64	J32	0.219199368493025	no	#4A74A9	Cell Cycle
C64	J45	0.178384943613117	no	#4A74A9	Cell Cycle
C64	K58	0.212897943688519	no	#4A74A9	Cell Cycle
C64	K70	0.238927147947041	no	#4A74A9	Cell Cycle
C64	L40	0.271065012409323	no	#4A74A9	Cell Cycle
C64	L70	0.269219089469926	no	#4A74A9	Cell Cycle
C64	N02	0.250347228301386	yes	#4A74A9	Cell Cycle
C64	Q98	0.289805113490735	no	#4A74A9	Cell Cycle
C67	C71	0.469018733208643	no	#4A74A9	Cell Cycle
C67	C73	0.62969940374147	no	#4A74A9	Cell Cycle
C67	C74	0.228884841462898	no	#4A74A9	Cell Cycle
C67	C82	-0.210209467893529	no	#B64539	Cell Cycle
C67	C84	0.287967557110217	no	#4A74A9	Cell Cycle
C67	D56	0.226927443137414	no	#4A74A9	Cell Cycle
C67	F33	0.188069093934336	no	#4A74A9	Cell Cycle
C67	J32	0.410762914544143	no	#4A74A9	Cell Cycle
C67	J44	0.222561902577215	no	#4A74A9	Cell Cycle
C67	J45	0.243625233545547	no	#4A74A9	Cell Cycle
C67	K13	0.362808835614849	no	#4A74A9	Cell Cycle
C67	K58	0.301235853953943	no	#4A74A9	Cell Cycle
C67	K70	0.261270531921686	no	#4A74A9	Cell Cycle
C67	L40	0.572173672267192	no	#4A74A9	Cell Cycle
C67	L70	0.475208470397495	no	#4A74A9	Cell Cycle
C67	L71	0.572424834734378	no	#4A74A9	Cell Cycle
C67	M33	0.268119850580273	no	#4A74A9	Cell Cycle
C67	Q98	0.413301419234556	no	#4A74A9	Cell Cycle
C67	R65	0.426848104381134	no	#4A74A9	Cell Cycle
C71	C73	0.333628592629152	no	#4A74A9	Cell Cycle
C71	C74	0.343241416239504	no	#4A74A9	Cell Cycle
C71	C84	0.235368435096727	no	#4A74A9	Cell Cycle
C71	G20	0.283125586147036	no	#4A74A9	Cell Cycle
C71	G30	0.266741215334525	no	#4A74A9	Cell Cycle
C71	J32	0.213962708803127	no	#4A74A9	Cell Cycle
C71	K70	0.187474941565186	no	#4A74A9	Cell Cycle
C71	L40	0.196862151961695	no	#4A74A9	Cell Cycle
C71	L70	0.304714554914985	no	#4A74A9	Cell Cycle
C71	L71	0.310424070042295	no	#4A74A9	Cell Cycle
C71	Q98	0.234478647403767	no	#4A74A9	Cell Cycle
C73	C74	0.43457037894002	no	#4A74A9	Cell Cycle
C73	C82	-0.265801528221008	no	#B64539	Cell Cycle
C73	C84	0.43481400681266	no	#4A74A9	Cell Cycle
C73	J32	0.357029324768863	no	#4A74A9	Cell Cycle
